power [kw],Time
251.25,2020 01 31 06:00:00
214.01,2020 01 31 07:00:00
414.84,2020 01 31 08:00:00
518.23,2020 01 31 09:00:00
493.74,2020 01 31 10:00:00
571.15,2020 01 31 11:00:00
520.34,2020 01 31 12:00:00
512.1,2020 01 31 13:00:00
502.62,2020 01 31 14:00:00
494.14,2020 01 31 15:00:00
494.27,2020 01 31 16:00:00
535.43,2020 01 31 17:00:00
501.45,2020 01 31 18:00:00
444.78,2020 01 31 19:00:00
372.51,2020 01 31 20:00:00
200.92,2020 01 31 21:00:00
41.45,2020 01 31 22:00:00
147.79,2020 01 31 23:00:00
97.11,2020 02 01 00:00:00
84.72,2020 02 01 01:00:00
60.41,2020 02 01 02:00:00
80.15,2020 02 01 03:00:00
100.42,2020 02 01 04:00:00
75.34,2020 02 01 05:00:00
208.34,2020 02 01 06:00:00
190.81,2020 02 01 07:00:00
414.47,2020 02 01 08:00:00
517.93,2020 02 01 09:00:00
493.53,2020 02 01 10:00:00
571.07,2020 02 01 11:00:00
520.37,2020 02 01 12:00:00
512.14,2020 02 01 13:00:00
502.64,2020 02 01 14:00:00
494.11,2020 02 01 15:00:00
494.13,2020 02 01 16:00:00
535.17,2020 02 01 17:00:00
501.21,2020 02 01 18:00:00
460.72,2020 02 01 19:00:00
387.4,2020 02 01 20:00:00
212.47,2020 02 01 21:00:00
46.85,2020 02 01 22:00:00
177.11,2020 02 01 23:00:00
97.92,2020 02 02 00:00:00
60.46,2020 02 02 01:00:00
82.06,2020 02 02 02:00:00
82.49,2020 02 02 03:00:00
76.62,2020 02 02 04:00:00
97.19,2020 02 02 05:00:00
209.9,2020 02 02 06:00:00
191.09,2020 02 02 07:00:00
414.7,2020 02 02 08:00:00
518.66,2020 02 02 09:00:00
494.21,2020 02 02 10:00:00
571.4,2020 02 02 11:00:00
521.02,2020 02 02 12:00:00
512.88,2020 02 02 13:00:00
503.24,2020 02 02 14:00:00
494.71,2020 02 02 15:00:00
494.72,2020 02 02 16:00:00
535.71,2020 02 02 17:00:00
501.49,2020 02 02 18:00:00
460.97,2020 02 02 19:00:00
387.76,2020 02 02 20:00:00
212.65,2020 02 02 21:00:00
44.31,2020 02 02 22:00:00
169.84,2020 02 02 23:00:00
98.84,2020 02 03 00:00:00
64.15,2020 02 03 01:00:00
78.96,2020 02 03 02:00:00
83.58,2020 02 03 03:00:00
120.15,2020 02 03 04:00:00
135.11,2020 02 03 05:00:00
251.62,2020 02 03 06:00:00
214.66,2020 02 03 07:00:00
415.28,2020 02 03 08:00:00
519.13,2020 02 03 09:00:00
494.67,2020 02 03 10:00:00
571.64,2020 02 03 11:00:00
521.33,2020 02 03 12:00:00
513.81,2020 02 03 13:00:00
