power [kw],Time
66.56,2020 01 21 10:00:00
62.13,2020 01 21 11:00:00
55.38,2020 01 21 12:00:00
49.0,2020 01 21 13:00:00
47.07,2020 01 21 14:00:00
64.19,2020 01 21 15:00:00
172.94,2020 01 21 16:00:00
333.24,2020 01 21 17:00:00
361.88,2020 01 21 18:00:00
350.35,2020 01 21 19:00:00
346.05,2020 01 21 20:00:00
277.13,2020 01 21 21:00:00
190.48,2020 01 21 22:00:00
119.49,2020 01 21 23:00:00
78.53,2020 01 22 00:00:00
77.45,2020 01 22 01:00:00
76.97,2020 01 22 02:00:00
76.35,2020 01 22 03:00:00
105.22,2020 01 22 04:00:00
166.04,2020 01 22 05:00:00
236.5,2020 01 22 06:00:00
216.9,2020 01 22 07:00:00
157.75,2020 01 22 08:00:00
118.33,2020 01 22 09:00:00
80.05,2020 01 22 10:00:00
82.17,2020 01 22 11:00:00
76.29,2020 01 22 12:00:00
72.32,2020 01 22 13:00:00
76.71,2020 01 22 14:00:00
96.3,2020 01 22 15:00:00
210.13,2020 01 22 16:00:00
379.26,2020 01 22 17:00:00
414.99,2020 01 22 18:00:00
408.29,2020 01 22 19:00:00
408.91,2020 01 22 20:00:00
344.33,2020 01 22 21:00:00
264.46,2020 01 22 22:00:00
195.79,2020 01 22 23:00:00
153.23,2020 01 23 00:00:00
150.87,2020 01 23 01:00:00
151.84,2020 01 23 02:00:00
152.99,2020 01 23 03:00:00
182.09,2020 01 23 04:00:00
241.02,2020 01 23 05:00:00
308.67,2020 01 23 06:00:00
278.76,2020 01 23 07:00:00
261.65,2020 01 23 08:00:00
219.07,2020 01 23 09:00:00
176.49,2020 01 23 10:00:00
171.8,2020 01 23 11:00:00
162.18,2020 01 23 12:00:00
152.04,2020 01 23 13:00:00
144.0,2020 01 23 14:00:00
158.47,2020 01 23 15:00:00
266.41,2020 01 23 16:00:00
398.15,2020 01 23 17:00:00
423.07,2020 01 23 18:00:00
411.32,2020 01 23 19:00:00
406.57,2020 01 23 20:00:00
334.34,2020 01 23 21:00:00
245.13,2020 01 23 22:00:00
171.85,2020 01 23 23:00:00
